Date,AMZN Adj Close,AMZN Volume,NFLX Adj Close,NFLX Volume,IBM Adj Close,IBM Volume,SPY Adj Close,SPY Volume
2014-01-02,19.898500442504883,42756000,51.83142852783203,12325600,120.87612915039062,4755639,154.4002227783203,119636900
2014-01-03,19.82200050354004,44204000,51.871429443359375,10817100,121.59931945800781,4250107,154.37490844726562,81390600
2014-01-06,19.681499481201172,63412000,51.36714172363281,15501500,121.18229675292969,4254919,153.92750549316406,108028200
2014-01-07,19.901500701904297,38320000,48.5,36167600,123.5994873046875,6205186,154.87289428710938,86144200
2014-01-08,20.09600067138672,46330000,48.71285629272461,20001100,122.46586608886719,4815470,154.9066925048828,96582300
2014-01-09,20.050500869750977,42060000,48.150001525878906,17007200,122.0814437866211,4520080,155.00790405273438,90683400
2014-01-10,19.882999420166016,53590000,47.448570251464844,16237900,122.00325775146484,4207430,155.43002319335938,102026400
2014-01-13,19.548999786376953,56898000,48.11571502685547,27237000,119.98358154296875,6050796,153.36203002929688,149892000
2014-01-14,19.87700080871582,46802000,48.279998779296875,19740000,121.1302261352539,4831683,155.0333251953125,105016100
2014-01-15,19.793500900268555,53566000,47.1971435546875,40432000,122.31600189208984,5038059,155.86898803710938,98525800
2014-01-16,19.790000915527344,52024000,47.38285827636719,21135800,122.98055267333984,4989734,155.6663818359375,72290600
2014-01-17,19.980499267578125,90102000,47.1485710144043,16417100,123.8470458984375,7996252,155.00790405273438,107848700
2014-01-21,20.352500915527344,62442000,46.95857238769531,25220300,122.76557159423828,11585810,155.46372985839844,88621200
2014-01-22,20.226999282836914,41210000,47.67571258544922,48342000,118.73916625976562,14430721,155.56504821777344,61270900
2014-01-23,19.993499755859375,60508000,55.531429290771484,91280000,119.05188751220703,7294699,154.29046630859375,132496900
2014-01-24,19.3799991607666,89168000,55.1542854309082,35466900,117.0386962890625,7207568,150.9985809326172,208677100
2014-01-27,19.31399917602539,78736000,54.461429595947266,32526900,115.905029296875,5448196,150.25575256347656,180843100
2014-01-28,19.721500396728516,57890000,58.11000061035156,43590400,115.22102355957031,5578632,151.1505126953125,110463200
